,CD_GEOCODM,NM_AGSN,CodAGSN,Estimated_Population,DPO_EmAGSN,Pop_EmAGSN,AbsoluteDifference,ProportionalDifference
330,3518800,SÍTIO DOS MORROS,35188000087.0,,596,2332,,
331,3518800,JARDIM SÃO JOÃO BATISTA,35188000012.0,,256,1045,,
332,3518800,JARDIM SANTA RITA II,35188000005.0,,3352,12732,,
333,3518800,JARDIM SANTA RITA I,35188000006.0,,113,390,,
334,3518800,JARDIM PARAÍSO I,35188000048.0,,203,731,,
335,3518800,JARDIM PARAÍSO II,35188000018.0,,520,1844,,
336,3518800,NÚCLEO PARQUE MIKAIL,35188000111.0,,442,1639,,
337,3518800,JARDIM SÃO DOMINGOS,35188000119.0,,200,731,,
338,3518800,JARDIM SANTA INÊS I,35188000017.0,,152,564,,
339,3518800,PARQUE IMPERIAL,35188000016.0,,246,847,,
340,3518800,JARDIM ACÁCIO,35188000072.0,1187.0,96,327,860.0,2.6299694189602447
341,3518800,JARDIM SÃO DOMINGOS - RUA BASTOS,35188000049.0,,92,398,,
342,3518800,PARQUE PRIMAVERA II,35188000113.0,,1249,4511,,
343,3518800,PARQUE PRIMAVERA I,35188000116.0,973.0,2061,7768,-6795.0,-0.8747425334706488
344,3518800,JARDIM BANANAL / JARDIM ADELINA,35188000082.0,,145,652,,
345,3518800,BANANAL,35188000114.0,1402.0,213,854,548.0,0.6416861826697893
346,3518800,JARDIM DOS EUCALIPTOS,35188000070.0,,503,1987,,
347,3518800,NÚCLEO SANTOS DUMONT,35188000115.0,,1374,5065,,
348,3518800,JARDIM LENIZE,35188000083.0,,366,1358,,
349,3518800,JARDIM LENIZE / JARDIM LENIZE II,35188000117.0,,458,1712,,
350,3518800,JARDIM NOVO PORTUGAL,35188000121.0,,81,326,,
351,3518800,JARDIM SÃO JOÃO,35188000007.0,,136,533,,
352,3518800,CIDADE SOBERANA (RUA DAS MARGARIDAS),35188000074.0,,510,1970,,
353,3518800,PARQUE BAMBI,35188000118.0,2883.0,1972,7217,-4334.0,-0.6005265345711515
354,3518800,VILA OPERÁRIA / CABUÇU,35188000147.0,,593,2107,,
355,3518800,JARDIM SANTA RITA III,35188000148.0,,231,807,,
356,3518800,JARDIM OKWYAMA,35188000149.0,,220,899,,
357,3518800,PARQUE MIKAIL,35188000150.0,,98,359,,
358,3518800,PARQUE MIKAIL II,35188000151.0,,80,291,,
359,3518800,CIDADE SOBERANA,35188000152.0,,121,455,,
360,3518800,AGUAZUL,35188000071.0,6.0,83,315,-309.0,-0.9809523809523809
361,3518800,NOVO RECREIO,35188000169.0,176.0,1852,6916,-6740.0,-0.9745517640254482
362,3518800,VILA OPERÁRIA,35188000190.0,,798,3039,,
363,3518800,VILA LANZARA,35188000177.0,17777.0,174,680,17097.0,25.14264705882353
364,3518800,JARDIM VALÉRIA,35188000178.0,,109,358,,
365,3518800,JARDIM TESTAI,35188000180.0,,57,205,,
366,3518800,VILA CAMBARÁ,35188000181.0,,80,337,,
367,3518800,JD MARIA APARECIDA / VILA SÃO JOÃO BATISTA / VILA MARILDA,35188000183.0,,279,1027,,
368,3518800,JARDIM SANTA INÊS,35188000184.0,,75,246,,
369,3518800,JARDIM VILA RICA,35188000185.0,,70,263,,
370,3518800,JARDIM PARAÍSO II / PARQUE MIKAIL,35188000186.0,,31,124,,
371,3518800,ANITA GARIBALDI,35188000167.0,,1869,6887,,
372,3518800,ARICANDUVA,35188000188.0,,80,304,,
373,3518800,JARDIM BONSUCESSO / JARDIM DOS PIMENTAS / PARQUE JANDAIA,35188000123.0,,1444,5422,,
374,3518800,PARQUE JANDAIA,35188000096.0,,798,2991,,
